time,steering_velocity,acceleration
0.0,0.0,0.0
0.01,2.7520712239913377e-5,0.0003896291205520347
0.02,5.504142447982675e-5,0.0007792582411040694
0.03,8.256213671974013e-5,0.0011688873616561041
0.04,0.0001100828489596535,0.001558516482208139
0.05,0.00013760356119956688,0.0019481456027601737
0.06,0.00016512427343948026,0.0023377747233122082
0.07,0.00019264498567939364,0.002727403843864243
0.08,0.000220165697919307,0.003117032964416278
0.09,0.0002476864101592204,0.0035066620849683126
0.1,0.00027520712239913377,0.0038962912055203473
0.11,0.00030272783463904714,0.004285920326072382
0.12,0.0003302485468789605,0.0046755494466244165
0.13,0.0003577692591188739,0.005065178567176451
0.14,0.00038528997135878727,0.005454807687728485
0.15,0.00041281068359870065,0.0058444368082805195
0.16,0.000440331395838614,0.006234065928832554
0.17,0.0004678521080785274,0.006623695049384588
0.18,0.0004953728203184408,0.0070133241699366225
0.19,0.0005228935325583542,0.007402953290488657
0.2,0.0005504142447982675,0.007792582411040691
0.21,0.0005779349570381809,0.008182211531592726
0.22,0.0006054556692780943,0.00857184065214476
0.23,0.0006329763815180077,0.008961469772696795
0.24,0.000660497093757921,0.00935109889324883
0.25,0.0006880178059978344,0.009740728013800864
0.26,0.0007155385182377478,0.010130357134352898
0.27,0.0007430592304776612,0.010519986254904932
0.28,0.0007705799427175745,0.010909615375456967
0.29,0.0007981006549574879,0.011299244496009001
0.3,0.0008256213671974013,0.011688873616561036
0.31,0.0008531420794373147,0.01207850273711307
0.32,0.000880662791677228,0.012468131857665104
0.33,0.0009081835039171414,0.012857760978217139
0.34,0.0009357042161570548,0.013247390098769173
0.35,0.0009632249283969682,0.013637019219321207
0.36,0.0009907456406368816,0.014026648339873242
0.37,0.001018266352876795,0.014416277460425276
0.38,0.0010457870651167083,0.01480590658097731
0.39,0.0010733077773566217,0.015195535701529345
0.4,0.001100828489596535,0.015585164822081379
0.41,0.0011283492018364484,0.015974793942633413
0.42,0.0011558699140763618,0.01636442306318545
0.43,0.0011833906263162752,0.016754052183737485
0.44,0.0012109113385561886,0.01714368130428952
0.45,0.001238432050796102,0.017533310424841558
0.46,0.0012659527630360153,0.017922939545393594
0.47,0.0012934734752759287,0.01831256866594563
0.48,0.001320994187515842,0.018702197786497666
0.49,0.0013485148997557555,0.019091826907049702
0.5,0.0013760356119956688,0.019481456027601738
0.51,0.0014035563242355822,0.019871085148153774
0.52,0.0014310770364754956,0.02026071426870581
0.53,0.001458597748715409,0.020650343389257846
0.54,0.0014861184609553223,0.021039972509809882
0.55,0.0015136391731952357,0.02142960163036192
0.56,0.001541159885435149,0.021819230750913955
0.57,0.0015686805976750625,0.02220885987146599
0.58,0.0015962013099149758,0.022598488992018027
0.59,0.0016237220221548892,0.022988118112570063
0.6,0.0016512427343948026,0.0233777472331221
0.61,0.001678763446634716,0.023767376353674135
0.62,0.0017062841588746294,0.02415700547422617
0.63,0.0017338048711145427,0.024546634594778207
0.64,0.001761325583354456,0.024936263715330243
0.65,0.0017888462955943695,0.02532589283588228
0.66,0.0018163670078342829,0.025715521956434315
0.67,0.0018438877200741962,0.02610515107698635
0.68,0.0018714084323141096,0.026494780197538387
0.69,0.001898929144554023,0.026884409318090424
0.7,0.0019264498567939364,0.02727403843864246
0.71,0.0019539705690338497,0.027663667559194496
0.72,0.001981491281273763,0.028053296679746532
0.73,0.0020090119935136765,0.028442925800298568
0.74,0.00203653270575359,0.028832554920850604
0.75,0.0020640534179935032,0.02922218404140264
0.76,0.0020915741302334166,0.029611813161954676
0.77,0.00211909484247333,0.030001442282506712
0.78,0.0021466155547132434,0.030391071403058748
0.79,0.0021741362669531568,0.030780700523610784
0.8,0.00220165697919307,0.03117032964416282
0.81,0.0022291776914329835,0.03155995876471485
0.82,0.002256698403672897,0.03194958788526689
0.83,0.0022842191159128103,0.032339217005818925
0.84,0.0023117398281527236,0.03272884612637096
0.85,0.002339260540392637,0.033118475246923
0.86,0.0023667812526325504,0.03350810436747503
0.87,0.0023943019648724638,0.03389773348802707
0.88,0.002421822677112377,0.034287362608579106
0.89,0.0024493433893522905,0.03467699172913114
0.9,0.002476864101592204,0.03506662084968318
0.91,0.0025043848138321173,0.035456249970235214
0.92,0.0025319055260720306,0.03584587909078725
0.93,0.002559426238311944,0.036235508211339286
0.94,0.0025869469505518574,0.03662513733189132
0.95,0.0026144676627917708,0.03701476645244336
0.96,0.002641988375031684,0.037404395572995394
0.97,0.0026695090872715975,0.03779402469354743
0.98,0.002697029799511511,0.038183653814099466
0.99,0.0027245505117514243,0.0385732829346515
1.0,0.0027520712239913377,0.03896291205520354
1.01,0.002779591936231251,0.039352541175755575
1.02,0.0028071126484711644,0.03974217029630761
1.03,0.002834633360711078,0.04013179941685965
1.04,0.002862154072950991,0.04052142853741168
1.05,0.0028896747851909045,0.04091105765796372
1.06,0.002917195497430818,0.041300686778515755
1.07,0.0029447162096707313,0.04169031589906779
1.08,0.0029722369219106447,0.04207994501961983
1.09,0.002999757634150558,0.04246957414017186
1.1,0.0030272783463904714,0.0428592032607239
1.11,0.003054799058630385,0.043248832381275935
1.12,0.003082319770870298,0.04363846150182797
1.13,0.0031098404831102116,0.04402809062238001
1.14,0.003137361195350125,0.044417719742932044
1.15,0.0031648819075900383,0.04480734886348408
1.16,0.0031924026198299517,0.045196977984036116
1.17,0.003219923332069865,0.04558660710458815
1.18,0.0032474440443097784,0.04597623622514019
1.19,0.003274964756549692,0.046365865345692224
1.2,0.003302485468789605,0.04675549446624426
1.21,0.0033300061810295186,0.047145123586796296
1.22,0.003357526893269432,0.04753475270734833
1.23,0.0033850476055093453,0.04792438182790037
1.24,0.0034125683177492587,0.048314010948452404
1.25,0.003440089029989172,0.04870364006900444
1.26,0.0034676097422290855,0.04909326918955648
1.27,0.003495130454468999,0.04948289831010851
1.28,0.003522651166708912,0.04987252743066055
1.29,0.0035501718789488256,0.050262156551212585
1.3,0.003577692591188739,0.05065178567176462
1.31,0.0036052133034286523,0.05104141479231666
1.32,0.0036327340156685657,0.05143104391286869
1.33,0.003660254727908479,0.05182067303342073
1.34,0.0036877754401483925,0.052210302153972765
1.35,0.003715296152388306,0.0525999312745248
1.36,0.0037428168646282192,0.05298956039507684
1.37,0.0037703375768681326,0.05337918951562887
1.38,0.003797858289108046,0.05376881863618091
1.39,0.0038253790013479593,0.054158447756732946
1.4,0.0038528997135878727,0.05454807687728498
1.41,0.003880420425827786,0.05493770599783702
1.42,0.0039079411380676995,0.055327335118389054
1.43,0.003935461850307613,0.05571696423894109
1.44,0.003962982562547526,0.056106593359493126
1.45,0.00399050327478744,0.05649622248004516
1.46,0.004018023987027353,0.0568858516005972
1.47,0.004045544699267266,0.057275480721149234
1.48,0.00407306541150718,0.05766510984170127
1.49,0.004100586123747093,0.058054738962253306
1.5,0.0041281068359870065,0.05844436808280534
1.51,0.00415562754822692,0.05883399720335738
1.52,0.004183148260466833,0.059223626323909415
1.53,0.004210668972706747,0.05961325544446145
1.54,0.00423818968494666,0.06000288456501349
1.55,0.004265710397186573,0.06039251368556552
1.56,0.004293231109426487,0.06078214280611756
1.57,0.0043207518216664,0.061171771926669595
1.58,0.0043482725339063135,0.06156140104722163
1.59,0.004375793246146227,0.06195103016777367
1.6,0.00440331395838614,0.0623406592883257
1.61,0.004430834670626054,0.06273028840887773
1.62,0.004458355382865967,0.06311991752942976
1.63,0.00448587609510588,0.06350954664998179
1.64,0.004513396807345794,0.06389917577053382
1.65,0.004513396807345794,0.06428880489108585
1.66,0.004513396807345794,0.06467843401163788
1.67,0.004513396807345794,0.06506806313218991
1.68,0.004513396807345794,0.06545769225274194
1.69,0.004513396807345794,0.06584732137329397
1.7,0.004513396807345794,0.066236950493846
1.71,0.004513396807345794,0.06662657961439802
1.72,0.004513396807345794,0.06701620873495005
1.73,0.004513396807345794,0.06740583785550208
1.74,0.004513396807345794,0.06779546697605411
1.75,0.004513396807345794,0.06818509609660614
1.76,0.004513396807345794,0.06857472521715817
1.77,0.004513396807345794,0.0689643543377102
1.78,0.004513396807345794,0.06935398345826223
1.79,0.004513396807345794,0.06974361257881426
1.8,0.004513396807345794,0.07013324169936629
1.81,0.004513396807345794,0.07052287081991832
1.82,0.004513396807345794,0.07091249994047034
1.83,0.004513396807345794,0.07130212906102237
1.84,0.004513396807345794,0.0716917581815744
1.85,0.004513396807345794,0.07208138730212643
1.86,0.004513396807345794,0.07247101642267846
1.87,0.004513396807345794,0.07286064554323049
1.88,0.004513396807345794,0.07325027466378252
1.89,0.004513396807345794,0.07363990378433455
1.9,0.004513396807345794,0.07402953290488658
1.91,0.004513396807345794,0.0744191620254386
1.92,0.004513396807345794,0.07480879114599064
1.93,0.004513396807345794,0.07519842026654266
1.94,0.004513396807345794,0.0755880493870947
1.95,0.004513396807345794,0.07597767850764672
1.96,0.004513396807345794,0.07636730762819875
1.97,0.004513396807345794,0.07675693674875078
1.98,0.004513396807345794,0.07714656586930281
1.99,0.004513396807345794,0.07714656586930281
2.0,0.004513396807345794,0.07714656586930281
2.01,0.004513396807345794,0.07714656586930281
2.02,0.004513396807345794,0.07714656586930281
2.03,0.004513396807345794,0.07714656586930281
2.04,0.004513396807345794,0.07714656586930281
2.05,0.004513396807345794,0.07714656586930281
2.06,0.004513396807345794,0.07714656586930281
2.07,0.004513396807345794,0.07714656586930281
2.08,0.004513396807345794,0.07714656586930281
2.09,0.004513396807345794,0.07714656586930281
2.1,0.004513396807345794,0.07714656586930281
2.11,0.004513396807345794,0.07714656586930281
2.12,0.004513396807345794,0.07714656586930281
2.13,0.004513396807345794,0.07714656586930281
2.14,0.004513396807345794,0.07714656586930281
2.15,0.004513396807345794,0.07714656586930281
2.16,0.004513396807345794,0.07714656586930281
2.17,0.004513396807345794,0.07714656586930281
2.18,0.004513396807345794,0.07714656586930281
2.19,0.004513396807345794,0.07714656586930281
2.2,0.004513396807345794,0.07714656586930281
2.21,0.004513396807345794,0.07714656586930281
2.22,0.004513396807345794,0.07714656586930281
2.23,0.004513396807345794,0.07714656586930281
2.24,0.004513396807345794,0.07714656586930281
2.25,0.004513396807345794,0.07714656586930281
2.26,0.004513396807345794,0.07714656586930281
2.27,0.004513396807345794,0.07714656586930281
2.28,0.004513396807345794,0.07714656586930281
2.29,0.004513396807345794,0.07714656586930281
2.3,0.004513396807345794,0.07714656586930281
2.31,0.004513396807345794,0.07714656586930281
2.32,0.004513396807345794,0.07714656586930281
2.33,0.004513396807345794,0.07714656586930281
2.34,0.004513396807345794,0.07714656586930281
2.35,0.004513396807345794,0.07714656586930281
2.36,0.004513396807345794,0.07714656586930281
2.37,0.004513396807345794,0.07714656586930281
2.38,0.004513396807345794,0.07714656586930281
2.39,0.004513396807345794,0.07714656586930281
2.4,0.004513396807345794,0.07714656586930281
2.41,0.004513396807345794,0.07714656586930281
2.42,0.004513396807345794,0.07714656586930281
2.43,0.004513396807345794,0.07714656586930281
2.44,0.004513396807345794,0.07714656586930281
2.45,0.004513396807345794,0.07714656586930281
2.46,0.004513396807345794,0.07714656586930281
2.47,0.004513396807345794,0.07714656586930281
2.48,0.004513396807345794,0.07714656586930281
2.49,0.004513396807345794,0.07714656586930281
2.5,0.004513396807345794,0.07714656586930281
2.51,0.004513396807345794,0.07714656586930281
2.52,0.004513396807345794,0.07714656586930281
2.53,0.004513396807345794,0.07714656586930281
2.54,0.004513396807345794,0.07714656586930281
2.55,0.004513396807345794,0.07714656586930281
2.56,0.004513396807345794,0.07714656586930281
2.57,0.004513396807345794,0.07714656586930281
2.58,0.004513396807345794,0.07714656586930281
2.59,0.004513396807345794,0.07714656586930281
2.6,0.004513396807345794,0.07714656586930281
2.61,0.004513396807345794,0.07714656586930281
2.62,0.004513396807345794,0.07714656586930281
2.63,0.004513396807345794,0.07714656586930281
2.64,0.004513396807345794,0.07714656586930281
2.65,0.004513396807345794,0.07714656586930281
2.66,0.004513396807345794,0.07714656586930281
2.67,0.004513396807345794,0.07714656586930281
2.68,0.004513396807345794,0.07714656586930281
2.69,0.004513396807345794,0.07714656586930281
2.7,0.004513396807345794,0.07714656586930281
2.71,0.004513396807345794,0.07714656586930281
2.72,0.004513396807345794,0.07714656586930281
2.73,0.004513396807345794,0.07714656586930281
2.74,0.004513396807345794,0.07714656586930281
2.75,0.004513396807345794,0.07714656586930281
2.76,0.004513396807345794,0.07714656586930281
2.77,0.004513396807345794,0.07714656586930281
2.78,0.004513396807345794,0.07714656586930281
2.79,0.004513396807345794,0.07714656586930281
2.8,0.004513396807345794,0.07714656586930281
2.81,0.004513396807345794,0.07714656586930281
2.82,0.004513396807345794,0.07714656586930281
2.83,0.004513396807345794,0.07714656586930281
2.84,0.004513396807345794,0.07714656586930281
2.85,0.004513396807345794,0.07714656586930281
2.86,0.004513396807345794,0.07714656586930281
2.87,0.004513396807345794,0.07714656586930281
2.88,0.004513396807345794,0.07714656586930281
2.89,0.004513396807345794,0.07714656586930281
2.9,0.004513396807345794,0.07714656586930281
2.91,0.004513396807345794,0.07714656586930281
2.92,0.004513396807345794,0.07714656586930281
2.93,0.004513396807345794,0.07714656586930281
2.94,0.004513396807345794,0.07714656586930281
2.95,0.004513396807345794,0.07714656586930281
2.96,0.004513396807345794,0.07714656586930281
2.97,0.004513396807345794,0.07714656586930281
2.98,0.004513396807345794,0.07714656586930281
2.99,0.004513396807345794,0.07714656586930281
3.0,0.004513396807345794,0.07714656586930281
3.01,0.004513396807345794,0.07714656586930281
3.02,0.004513396807345794,0.07714656586930281
3.03,0.004513396807345794,0.07714656586930281
3.04,0.004513396807345794,0.07714656586930281
3.05,0.004513396807345794,0.07714656586930281
3.06,0.004513396807345794,0.07714656586930281
3.07,0.004513396807345794,0.07714656586930281
3.08,0.004513396807345794,0.07714656586930281
3.09,0.004513396807345794,0.07714656586930281
3.1,0.004513396807345794,0.07714656586930281
3.11,0.004513396807345794,0.07714656586930281
3.12,0.004513396807345794,0.07714656586930281
3.13,0.004513396807345794,0.07714656586930281
3.14,0.004513396807345794,0.07714656586930281
3.15,0.004513396807345794,0.07714656586930281
3.16,0.004513396807345794,0.07714656586930281
3.17,0.004513396807345794,0.07714656586930281
3.18,0.004513396807345794,0.07714656586930281
3.19,0.004513396807345794,0.07714656586930281
3.2,0.004513396807345794,0.07714656586930281
3.21,0.004513396807345794,0.07714656586930281
3.22,0.004513396807345794,0.07714656586930281
3.23,0.004513396807345794,0.07714656586930281
3.24,0.004513396807345794,0.07714656586930281
3.25,0.004513396807345794,0.07714656586930281
3.26,0.004513396807345794,0.07714656586930281
3.27,0.004513396807345794,0.07714656586930281
3.28,0.004513396807345794,0.07714656586930281
3.29,0.004513396807345794,0.07714656586930281
3.3,0.004513396807345794,0.07714656586930281
3.31,0.004513396807345794,0.07714656586930281
3.32,0.004513396807345794,0.07714656586930281
3.33,0.004513396807345794,0.07714656586930281
3.34,0.004513396807345794,0.07714656586930281
3.35,0.004513396807345794,0.07714656586930281
3.36,0.004513396807345794,0.07714656586930281
3.37,0.004513396807345794,0.07714656586930281
3.38,0.004513396807345794,0.07714656586930281
3.39,0.004513396807345794,0.07714656586930281
3.4,0.004513396807345794,0.07714656586930281
3.41,0.004513396807345794,0.07714656586930281
3.42,0.004513396807345794,0.07714656586930281
3.43,0.004513396807345794,0.07714656586930281
3.44,0.004513396807345794,0.07714656586930281
3.45,0.004513396807345794,0.07714656586930281
3.46,0.004513396807345794,0.07714656586930281
3.47,0.004513396807345794,0.07714656586930281
3.48,0.004513396807345794,0.07714656586930281
3.49,0.004513396807345794,0.07714656586930281
3.5,0.004513396807345794,0.07714656586930281
3.51,0.004513396807345794,0.07714656586930281
3.52,0.004513396807345794,0.07714656586930281
3.53,0.004513396807345794,0.07714656586930281
3.54,0.004513396807345794,0.07714656586930281
3.55,0.004513396807345794,0.07714656586930281
3.56,0.004513396807345794,0.07714656586930281
3.57,0.004513396807345794,0.07714656586930281
3.58,0.004513396807345794,0.07714656586930281
3.59,0.004513396807345794,0.07714656586930281
3.6,0.004513396807345794,0.07714656586930281
3.61,0.004513396807345794,0.07714656586930281
3.62,0.004513396807345794,0.07714656586930281
3.63,0.004513396807345794,0.07714656586930281
3.64,0.004513396807345794,0.07714656586930281
3.65,0.004513396807345794,0.07714656586930281
3.66,0.004513396807345794,0.07714656586930281
3.67,0.004513396807345794,0.07714656586930281
3.68,0.004513396807345794,0.07714656586930281
3.69,0.004513396807345794,0.07714656586930281
3.7,0.004513396807345794,0.07714656586930281
3.71,0.004513396807345794,0.07714656586930281
3.72,0.004513396807345794,0.07714656586930281
3.73,0.004513396807345794,0.07714656586930281
3.74,0.004513396807345794,0.07714656586930281
3.75,0.004513396807345794,0.07714656586930281
3.76,0.004513396807345794,0.07714656586930281
3.77,0.004513396807345794,0.07714656586930281
3.78,0.004513396807345794,0.07714656586930281
3.79,0.004513396807345794,0.07714656586930281
3.8,0.004513396807345794,0.07714656586930281
3.81,0.004513396807345794,0.07714656586930281
3.82,0.004513396807345794,0.07714656586930281
3.83,0.004513396807345794,0.07714656586930281
3.84,0.004513396807345794,0.07714656586930281
3.85,0.004513396807345794,0.07714656586930281
3.86,0.004513396807345794,0.07714656586930281
3.87,0.004513396807345794,0.07714656586930281
3.88,0.004513396807345794,0.07714656586930281
3.89,0.004513396807345794,0.07714656586930281
3.9,0.004513396807345794,0.07714656586930281
3.91,0.004513396807345794,0.07714656586930281
3.92,0.004513396807345794,0.07714656586930281
3.93,0.004513396807345794,0.07714656586930281
3.94,0.004513396807345794,0.07714656586930281
3.95,0.004513396807345794,0.07714656586930281
3.96,0.004513396807345794,0.07714656586930281
3.97,0.004513396807345794,0.07714656586930281
3.98,0.004513396807345794,0.07714656586930281
3.99,0.004513396807345794,0.07714656586930281
4.0,0.004513396807345794,0.07714656586930281
4.01,0.004513396807345794,0.07714656586930281
4.02,0.004513396807345794,0.07714656586930281
4.03,0.004513396807345794,0.07714656586930281
4.04,0.004513396807345794,0.07714656586930281
4.05,0.004513396807345794,0.07714656586930281
4.06,0.004513396807345794,0.07714656586930281
4.07,0.004513396807345794,0.07714656586930281
4.08,0.004513396807345794,0.07714656586930281
4.09,0.004513396807345794,0.07714656586930281
4.1,0.004513396807345794,0.07714656586930281
4.11,0.004513396807345794,0.07714656586930281
4.12,0.004513396807345794,0.07714656586930281
4.13,0.004513396807345794,0.07714656586930281
4.14,0.004513396807345794,0.07714656586930281
4.15,0.004513396807345794,0.07714656586930281
4.16,0.004513396807345794,0.07714656586930281
4.17,0.004513396807345794,0.07714656586930281
4.18,0.004513396807345794,0.07714656586930281
4.19,0.004513396807345794,0.07714656586930281
4.2,0.004513396807345794,0.07714656586930281
4.21,0.004513396807345794,0.07714656586930281
4.22,0.004513396807345794,0.07714656586930281
4.23,0.004513396807345794,0.07714656586930281
4.24,0.004513396807345794,0.07714656586930281
4.25,0.004513396807345794,0.07714656586930281
4.26,0.004513396807345794,0.07714656586930281
4.27,0.004513396807345794,0.07714656586930281
4.28,0.004513396807345794,0.07714656586930281
4.29,0.004513396807345794,0.07714656586930281
4.3,0.004513396807345794,0.07714656586930281
4.31,0.004513396807345794,0.07714656586930281
4.32,0.004513396807345794,0.07714656586930281
4.33,0.004513396807345794,0.07714656586930281
4.34,0.004513396807345794,0.07714656586930281
4.35,0.004513396807345794,0.07714656586930281
4.36,0.004513396807345794,0.07714656586930281
4.37,0.004513396807345794,0.07714656586930281
4.38,0.004513396807345794,0.07714656586930281
4.39,0.004513396807345794,0.07714656586930281
4.4,0.004513396807345794,0.07714656586930281
4.41,0.004513396807345794,0.07714656586930281
4.42,0.004513396807345794,0.07714656586930281
4.43,0.004513396807345794,0.07714656586930281
4.44,0.004513396807345794,0.07714656586930281
4.45,0.004513396807345794,0.07714656586930281
4.46,0.004513396807345794,0.07714656586930281
4.47,0.004513396807345794,0.07714656586930281
4.48,0.004513396807345794,0.07714656586930281
4.49,0.004513396807345794,0.07714656586930281
4.5,0.004513396807345794,0.07714656586930281
4.51,0.004513396807345794,0.07714656586930281
4.52,0.004513396807345794,0.07714656586930281
4.53,0.004513396807345794,0.07714656586930281
4.54,0.004513396807345794,0.07714656586930281
4.55,0.004513396807345794,0.07714656586930281
4.56,0.004513396807345794,0.07714656586930281
4.57,0.004513396807345794,0.07714656586930281
4.58,0.004513396807345794,0.07714656586930281
4.59,0.004513396807345794,0.07714656586930281
4.6,0.004513396807345794,0.07714656586930281
4.61,0.004513396807345794,0.07714656586930281
4.62,0.004513396807345794,0.07714656586930281
4.63,0.004513396807345794,0.07714656586930281
4.64,0.004513396807345794,0.07714656586930281
4.65,0.004513396807345794,0.07714656586930281
4.66,0.004513396807345794,0.07714656586930281
4.67,0.004513396807345794,0.07714656586930281
4.68,0.004513396807345794,0.07714656586930281
4.69,0.004513396807345794,0.07714656586930281
4.7,0.004513396807345794,0.07714656586930281
4.71,0.004513396807345794,0.07714656586930281
4.72,0.004513396807345794,0.07714656586930281
4.73,0.004513396807345794,0.07714656586930281
4.74,0.004513396807345794,0.07714656586930281
4.75,0.004513396807345794,0.07714656586930281
4.76,0.004513396807345794,0.07714656586930281
4.77,0.004513396807345794,0.07714656586930281
4.78,0.004513396807345794,0.07714656586930281
4.79,0.004513396807345794,0.07714656586930281
4.8,0.004513396807345794,0.07714656586930281
4.81,0.004513396807345794,0.07714656586930281
4.82,0.004513396807345794,0.07714656586930281
4.83,0.004513396807345794,0.07714656586930281
4.84,0.004513396807345794,0.07714656586930281
4.85,0.004513396807345794,0.07714656586930281
4.86,0.004513396807345794,0.07714656586930281
4.87,0.004513396807345794,0.07714656586930281
4.88,0.004513396807345794,0.07714656586930281
4.89,0.004513396807345794,0.07714656586930281
4.9,0.004513396807345794,0.07714656586930281
4.91,0.004513396807345794,0.07714656586930281
4.92,0.004513396807345794,0.07714656586930281
4.93,0.004513396807345794,0.07714656586930281
4.94,0.004513396807345794,0.07714656586930281
4.95,0.004513396807345794,0.07714656586930281
4.96,0.004513396807345794,0.07714656586930281
4.97,0.004513396807345794,0.07714656586930281
4.98,0.004513396807345794,0.07714656586930281
4.99,0.004513396807345794,0.07714656586930281
5.0,0.004513396807345794,0.07714656586930281
5.01,0.004486546703629945,0.07741393831544635
5.02,0.004459696599914097,0.07768131076158989
5.03,0.004432846496198248,0.07794868320773343
5.04,0.0044059963924824,0.07821605565387697
5.05,0.004379146288766551,0.07848342810002051
